excluded_industry,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,calculation
C43,0.0901276977030745,0.1901460552616449,0.4739919404536524,-0.3243793944234885,0.9659513426592217,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
D44,0.0892580525552158,0.1907779334045111,0.4678636096028977,-0.3252441859616617,0.9536995236540482,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
D45,0.09035681212528801,0.19030248144353842,0.47480627388506397,-0.3228890629315634,0.9691903080176019,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
D46,0.08959789238749627,0.19033623095611354,0.47073482509042197,-0.32410956900110743,0.958479336145013,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
E47,0.09007670296819281,0.18988009315495857,0.4743872907976848,-0.3246685444976284,0.9652310683491643,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
E48,0.0894555623228459,0.19015279712720723,0.47044042304043776,-0.32381324684028545,0.9564762382666088,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
E49,0.08666254654908356,0.18989520404082075,0.4563703806361228,-0.32225092091593244,0.9175284073643288,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
E50,0.09116890386000986,0.19012764990973025,0.47951417851793515,-0.3260854150018335,0.9807082820704622,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
F51,0.08925618211337882,0.19033193194908735,0.46895011887576654,-0.3241972284008108,0.9536732442653313,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
F52,0.08947254788869996,0.1902093907146668,0.4703897507506229,-0.3272750862486806,0.9567151925492743,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
G53,0.09058867450429031,0.1902721097907304,0.476100646615648,-0.3242236568562715,0.9724728591141711,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
G54,0.09002625579392531,0.1904732602502878,0.47264511394212505,-0.32453672920018617,0.9645187545685261,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
G55,0.08981560197476979,0.19042884499940585,0.47164914524924006,-0.3244262166379701,0.9615467572200067,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
G56,0.09026130622002815,0.19024578294472932,0.4744457660133843,-0.3245253717297131,0.9678395862076428,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
G58,0.09024600524681725,0.18963679469530306,0.4758886870652875,-0.32057455420229586,0.9676232625927563,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
G59,0.09023899774228528,0.18983218313491423,0.4753619552389185,-0.322523422185782,0.9675241981269607,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
G60,0.08973704847901098,0.19094785176965504,0.4699557897475743,-0.326422923953679,0.9604394941504026,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
H61,0.0907464405763192,0.18997668081756694,0.4776714709710202,-0.3243793944234885,0.9747091327036441,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
H62,0.08979056840492405,0.1899170900547547,0.47278824869861197,-0.3243793944234885,0.9611938334153209,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
I63,0.09153687133878319,0.19040759508503888,0.4807417020203498,-0.32420022028294426,0.9859465174097335,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
I64,0.08589337816480569,0.1897901740230261,0.45257020605494974,-0.3246730937487412,0.9069220802988931,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
I65,0.08780620611521384,0.189884300281023,0.4624195153852284,-0.33033433079902186,0.9333938626256566,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
J66,0.09165469238524482,0.19638079656022944,0.46671922097604174,-0.3321332553523544,0.9876263221088835,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
J67,0.09022093747292015,0.1860229153656654,0.4849990513027536,-0.3273261415052905,0.9814811108000727,95,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
J68,0.09107355657197735,0.18991399150621782,0.4795515899048206,-0.3253700585407796,0.9793529246666375,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
J69,0.0879559573140436,0.18977222538084565,0.46348171940086913,-0.3243793944234885,0.9354797458722253,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
K70,0.09184015391078981,0.19034146654526982,0.48250208206180356,-0.3242877178000043,0.9902730054813602,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
L71,0.08877252764185228,0.18950923421937368,0.46843378375478123,-0.32409546671258194,0.9468883213029127,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
L72,0.09160490838557167,0.18967450324514967,0.48295847263759306,-0.3227964387712762,0.9869163877788074,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
M73,0.09001097149507808,0.18977533317099915,0.47430279789825325,-0.32363266265499535,0.9643029848265949,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
