refit_month,target_type,target_horizon_months,ridge_alpha,history_start,history_end,maximum_training_realization_month,history_samples,validation_ic,alpha_intercept,alpha_beta,alpha_beta_t_stat,alpha_calibration_samples,signal_failure
2023-10-31,residual_1m,1,10.0,2016-10-31,2023-08-31,2023-09-30,243896,0.07521191833769504,-0.0007147107395433803,0.13385299304385812,8.085688591875332,42423,False
2024-01-31,residual_1m,1,10.0,2017-01-31,2023-11-30,2023-12-31,249713,0.07860852086077066,-0.0005312015464255739,0.14077301746141244,8.12217808494202,43254,False
2024-04-30,residual_1m,1,10.0,2017-04-30,2024-02-29,2024-03-31,255785,0.11519212856277133,-0.00045088820422392313,0.2807571830776053,15.354979052250508,44035,False
2024-07-31,residual_1m,1,10.0,2017-07-31,2024-05-31,2024-06-30,261927,0.11360469510455515,0.00012053821131730743,0.2892187503308968,16.79511651392498,44747,False
2024-10-31,residual_1m,1,10.0,2017-10-31,2024-08-31,2024-09-30,267719,0.10765004057070905,0.0005882481215242524,0.2770009429746811,15.294181334238846,45311,False
2025-01-31,residual_1m,1,10.0,2018-01-31,2024-11-30,2024-12-31,273230,0.09515824440905235,-0.0007928001223301704,0.2515544546080361,11.886566899985173,45702,False
2025-04-30,residual_1m,1,10.0,2018-04-30,2025-02-28,2025-03-31,278710,0.09872250297621848,-0.0013089590100620935,0.178240936852191,8.913701436381238,45857,False
2025-07-31,residual_1m,1,10.0,2018-07-31,2025-05-31,2025-06-30,283710,0.09042291716175829,-0.0012365112801827481,0.11404002706188195,5.781305760706303,45882,False
2025-10-31,residual_1m,1,10.0,2018-10-31,2025-08-31,2025-09-30,288440,0.08824881953288803,-0.0006457938549366619,0.1017803422959287,5.44815200982629,46031,False
2018-01-31,residual_3m,3,1000.0,2014-08-31,2017-09-30,2017-12-31,73510,0.10721159208387081,0.0022327948886441884,0.30614681627515894,13.936235302247336,25470,False
2018-04-30,residual_3m,3,1000.0,2014-08-31,2017-12-31,2018-03-31,80510,0.11347583423511563,-0.0003384789271802436,0.34049796853530817,16.186208408593078,26255,False
2018-07-31,residual_3m,3,1000.0,2014-08-31,2018-03-31,2018-06-30,87593,0.06761356059275904,0.002330953759594126,0.16738938471060005,8.019115685960559,27092,False
2018-10-31,residual_3m,3,1000.0,2014-08-31,2018-06-30,2018-09-30,95079,0.05034949603245154,0.0021024232205504633,0.10317907406976304,5.783237244064865,28257,False
2019-01-31,residual_3m,3,1000.0,2014-08-31,2018-09-30,2018-12-31,102970,0.06262031311209242,0.00012825126549798903,0.13299356228210127,7.821977851913203,29460,False
2019-04-30,residual_3m,3,1000.0,2014-08-31,2018-12-31,2019-03-31,111113,0.05398849972443038,-0.0006282316496772994,0.10978486996549033,6.305646687984695,30603,False
