target_type,portfolio_type,lambda_risk,lambda_turnover,uses_retrospective_test,development_50bps_annual_return,development_50bps_sharpe,selection_50bps_annual_return,selection_50bps_sharpe,selection_20bps_sharpe,selection_100bps_sharpe,selection_average_turnover,quarterly_selection_turnover,selection_mean_rank_ic,selection_mean_target_rank_ic,selection_decile_monotonicity,selection_average_invested_weight,selection_max_unresolved_weight,rank_ic_drop_vs_original_ridge,passes_constraints,selection_objective,selected,selection_status
residual_3m,cost_aware,1.0,1.0,False,-0.0004393682791825,-0.0020594244768318,-0.0092789689571014,-0.0503797791147153,-0.0044001810309733,-0.1262759026019995,0.2348355833653432,0.1469682583506449,0.0947726760444026,0.1053058862379209,0.9757575757575756,1.0,0.0008882530805229,0.0463766756503018,False,-0.1095005598514175,False,not_selected
original_1m,cost_aware,1.0,0.5,False,0.037317333413622,0.181942156687116,-0.0059697427288812,-0.0338749909361373,0.0588585374932373,-0.1858576033618116,0.4537818368426971,0.1469682583506449,0.1411493516947044,0.1411493516947044,0.9757575757575756,1.0,0.0,0.0,False,-0.1109320188093884,False,not_selected
residual_3m,cost_aware,2.0,1.0,False,0.0013269333153316,0.0061496766106042,-0.0105945429630346,-0.0560233731764425,-0.0101534390333795,-0.1317206342727315,0.2406236248419027,0.1469682583506449,0.0947726760444026,0.1053058862379209,0.9757575757575756,1.0,0.0009070209800968,0.0463766756503018,False,-0.1149493440647973,False,not_selected
original_1m,score_weight,1.0,1.0,False,0.0575122620132808,0.2883813690692675,-0.0019892019920478,-0.0106506231826321,0.1207010167672995,-0.2241662929016063,0.6769101486070582,0.1469682583506449,0.1411493516947044,0.1411493516947044,0.9757575757575756,1.0,0.0,0.0,False,-0.1222018865205432,False,not_selected
residual_3m,cost_aware,0.5,0.5,False,-0.0067755436571568,-0.0319357851767391,-0.0078969549101239,-0.0435651525874384,0.0217367704688713,-0.1510339741520464,0.3296168730487164,0.1469682583506449,0.0947726760444026,0.1053058862379209,0.9757575757575756,1.0,0.0,0.0463766756503018,False,-0.1323565278849654,False,not_selected
residual_3m,cost_aware,1.0,0.5,False,-0.0042853722299788,-0.0200525156976766,-0.0097787146823724,-0.0532478506355355,0.0117431622570148,-0.1601948677256793,0.3328865950480139,0.1469682583506449,0.0947726760444026,0.1053058862379209,0.9757575757575756,1.0,0.0,0.0463766756503018,False,-0.1404800025370743,False,not_selected
residual_3m,score_weight,1.0,1.0,False,0.0033758607161569,0.0157599918687444,-0.0022012582784938,-0.0115615316510225,0.0900152336639737,-0.1775415049390966,0.5347439163549909,0.1469682583506449,0.0947726760444026,0.1053058862379209,0.9757575757575756,1.0,0.0,0.0463766756503018,False,-0.1420955123660213,False,not_selected
fixed_combined,cost_aware,0.5,2.0,False,-0.0205844367325984,-0.0966461570016152,-0.0168419724191665,-0.0922215956110707,-0.0636551529175823,-0.1395430824285389,0.1458246372763543,0.1469682583506449,0.0850518760719604,0.0801659453438252,0.8787878787878788,1.0,0.0024382557122684,0.056097475622744,False,-0.1480069863304823,False,not_selected
residual_3m,cost_aware,2.0,0.5,False,-0.0011917507266409,-0.0055068643395062,-0.0119310448876014,-0.0632246558669497,0.0012795491843865,-0.1693325589561014,0.3400682582416821,0.1469682583506449,0.0947726760444026,0.1053058862379209,0.9757575757575756,1.0,0.0,0.0463766756503018,False,-0.1493430932952715,False,not_selected
fixed_combined,cost_aware,1.0,2.0,False,-0.0186790356460744,-0.0871555222896624,-0.022549475352084,-0.1216819605493805,-0.0932385330840294,-0.1687946628200371,0.1480572805246887,0.1469682583506449,0.0850518760719604,0.0801659453438252,0.8787878787878788,1.0,0.0024966654901399,0.056097475622744,False,-0.1761273851384852,False,not_selected
