refit_month,target_type,feature,standardized_coefficient
2019-10-31,original_1m,sales_to_price_missing,-0.0027920982036502974
2019-10-31,original_1m,low_volatility_missing,0.0
2019-10-31,original_1m,large_cap_stability_missing,0.0
2019-10-31,original_1m,short_reversal_missing,0.0
2019-10-31,original_1m,illiquidity_premium_missing,0.0
2019-10-31,original_1m,roe_missing,-0.003356987714812388
2019-10-31,original_1m,roa_missing,-0.005786700952286092
2019-10-31,original_1m,gross_margin_missing,0.002873946227594252
2019-10-31,original_1m,cash_conversion_missing,0.0008879117001490176
2019-10-31,original_1m,medium_reversal_3m_missing,0.0
2019-10-31,original_1m,medium_reversal_6m_missing,0.0
2019-10-31,original_1m,return_stability_6m_missing,0.0
2019-10-31,original_1m,return_stability_12m_missing,0.0
2019-10-31,original_1m,downside_stability_12m_missing,0.0010641023333241811
2019-10-31,original_1m,low_turnover_missing,0.0
2019-10-31,original_1m,lottery_avoidance_missing,0.0
2019-10-31,original_1m,residual_reversal_missing,0.0
2019-10-31,original_1m,profitability_momentum_missing,-0.0036049684353565265
2019-10-31,original_1m,value_composite_missing,0.00033811149703840137
2019-10-31,original_1m,quality_composite_missing,0.003677170077204282
2020-01-31,original_1m,long_term_reversal_12_1,-0.004236020670787224
2020-01-31,original_1m,earnings_yield,0.007660520837638995
2020-01-31,original_1m,book_to_market,0.004144366245475789
2020-01-31,original_1m,sales_to_price,0.005779194425508891
2020-01-31,original_1m,low_volatility,0.0025108263682585394
2020-01-31,original_1m,large_cap_stability,-0.0034826406487735453
2020-01-31,original_1m,short_reversal,0.027684720298249067
2020-01-31,original_1m,illiquidity_premium,0.014486361040740825
2020-01-31,original_1m,roe,0.006696115581671646
2020-01-31,original_1m,roa,0.008838295398782333
2020-01-31,original_1m,gross_margin,0.012672612793947748
2020-01-31,original_1m,cash_conversion,0.008066735371977227
2020-01-31,original_1m,medium_reversal_3m,0.005747906851870371
2020-01-31,original_1m,medium_reversal_6m,-0.0011155024635930385
2020-01-31,original_1m,return_stability_6m,-0.00020632626394709826
2020-01-31,original_1m,return_stability_12m,0.007411573311897194
2020-01-31,original_1m,downside_stability_12m,-0.0015011732309711866
