signal_month,realization_month,period,long_short_gross_return,long_short_turnover,long_short_net_return_20bps,long_short_proxy_net_return,explicit_cost,impact_proxy_cost,net_return,net_return_0bps,net_return_20bps,net_return_50bps,net_return_100bps
2021-03-31,2021-04-30,development,-0.0046904435944619,0.2588366015811398,-0.0052081167976242,-0.0063288313285031,0.0005176732031622796,0.0011207145308789,-0.006328831328503079,-0.0046904435944619,-0.005208116797624179,-0.005984626602367598,-0.007278809610273298
2021-04-30,2021-05-31,development,-0.0643367414268701,0.8587874872010921,-0.0660543164012723,-0.0696360580961444,0.0017175749744021843,0.0035817416948721037,-0.06963605809614438,-0.0643367414268701,-0.06605431640127228,-0.06863067886287556,-0.07292461629888101
2021-05-31,2021-06-30,development,0.0135503523120681,0.349865432906525,0.0128506214462551,0.0111601861083284,0.00069973086581305,0.0016904353379266993,0.01116018610832835,0.0135503523120681,0.01285062144625505,0.011801025147535475,0.010051697983002851
2021-06-30,2021-07-31,development,-0.0355115911939225,0.3676917918066244,-0.0362469747775358,-0.0378232001140035,0.0007353835836132489,0.0015762253364677015,-0.03782320011400345,-0.0355115911939225,-0.036246974777535745,-0.03735005015295562,-0.03918850911198874
2021-07-31,2021-08-31,development,0.0079153000486348,0.2133227752035801,0.0074886544982277,0.0067054948417683,0.0004266455504071602,0.0007831596564594001,0.006705494841768239,0.0079153000486348,0.007488654498227639,0.006848686172616899,0.005782072296598998
2021-08-31,2021-09-30,development,0.0483828535325036,0.2064082867140932,0.0479700369590754,0.0471378368752104,0.0004128165734281864,0.0008322000838650034,0.047137836875210413,0.0483828535325036,0.04797003695907542,0.04735081209893313,0.04631877066536267
2021-09-30,2021-10-31,development,-0.0063844638959934,0.3396837392709675,-0.0070638313745353,-0.0084716157933421,0.000679367478541935,0.0014077844188068005,-0.008471615793342135,-0.0063844638959934,-0.007063831374535335,-0.008082882592348238,-0.009781301288703075
2021-10-31,2021-11-30,development,-0.0470492641486617,0.3565556538074995,-0.0477623754562767,-0.0491279338348121,0.0007131113076149989,0.0013655583785354003,-0.0491279338348121,-0.0470492641486617,-0.0477623754562767,-0.0488320424176992,-0.05061482068673669
2021-11-30,2021-12-31,development,0.0637265312243764,0.3193718270992568,0.0630877875701779,0.0616762877038656,0.0006387436541985137,0.0014114998663122963,0.06167628770386559,0.0637265312243764,0.06308778757017788,0.06212967208888011,0.06053281295338383
2021-12-31,2022-01-31,development,0.0704618331076118,0.238985519330849,0.0699838620689501,0.0690261369277017,0.00047797103866169797,0.0009577251412484084,0.0690261369277017,0.0704618331076118,0.0699838620689501,0.06926690551095756,0.0680719779143033
