month,source_max_date,leakage_pass
2025-05-31,2025-05-19,True
2025-05-31,2025-05-21,True
2025-05-31,2025-05-20,True
2025-06-30,2025-06-30,True
2025-06-30,2025-06-23,True
2025-06-30,2025-06-26,True
2025-06-30,2025-06-20,True
2025-06-30,2025-06-27,True
2025-07-31,2025-07-31,True
2025-07-31,2025-07-15,True
2025-07-31,2025-07-30,True
2025-07-31,2025-07-18,True
2025-07-31,2025-07-29,True
2025-07-31,2025-07-28,True
2025-07-31,2025-07-14,True
2025-08-31,2025-08-29,True
2025-08-31,2025-08-27,True
2025-08-31,2025-08-28,True
2025-08-31,2025-08-19,True
2025-08-31,2025-08-26,True
2025-08-31,2025-08-22,True
2025-08-31,2025-08-15,True
2025-08-31,2025-08-25,True
2025-09-30,2025-09-30,True
2025-09-30,2025-09-26,True
2025-09-30,2025-09-24,True
2025-09-30,2025-09-19,True
2025-09-30,2025-09-29,True
2025-09-30,2025-09-25,True
2025-10-31,2025-10-31,True
2025-10-31,2025-10-27,True
2025-10-31,2025-10-29,True
2025-10-31,2025-10-24,True
2025-10-31,2025-10-30,True
2025-11-30,2025-11-28,True
2025-11-30,2025-11-24,True
2025-11-30,2025-11-21,True
2025-11-30,2025-11-27,True
2025-11-30,2025-11-18,True
2025-11-30,2025-11-25,True
2025-11-30,2025-11-14,True
2025-11-30,2025-11-19,True
2025-12-31,2025-12-31,True
2025-12-31,2025-12-29,True
2025-12-31,2025-12-19,True
2025-12-31,2025-12-24,True
2025-12-31,2025-12-12,True
2025-12-31,2025-12-17,True
2025-12-31,2025-12-26,True
2025-12-31,2025-12-30,True
2025-12-31,2025-12-18,True
