signal_month,realization_month,period,long_gross_return,short_sale_gross_return,long_turnover,short_turnover,long_net_return_20bps,short_sale_net_return_20bps,long_contribution,short_contribution,long_unresolved_weight,short_unresolved_weight,long_names,short_names,period_long_sharpe_20bps,period_short_sharpe_20bps
2020-01-31,2020-02-29,development,-0.01616351363522604,-0.033457164823286464,0.6860775291148098,0.6578630291897836,-0.017535668693455658,-0.03477289088166603,-0.01616351363522604,-0.033457164823286464,0.0,0.0,244,244,0.3165657469898829,0.4779224847590204
2020-02-29,2020-03-31,development,-0.014591967078312177,0.10582206895037448,0.641088609103315,0.5660051957846076,-0.015874144296518806,0.10469005855880527,-0.014591967078312177,0.10582206895037448,0.0,0.0,251,251,0.3165657469898829,0.4779224847590204
2020-03-31,2020-04-30,development,0.024472786501092168,0.002783329767908449,0.7201724905395848,0.7486957974822858,0.023032441520013,0.0012859381729438772,0.024472786501092168,0.002783329767908449,0.0,0.0,247,247,0.3165657469898829,0.4779224847590204
2020-04-30,2020-05-31,development,0.01621543030966329,0.005998951035285157,0.704494223084297,0.7893779223848348,0.014806441863494696,0.004420195190515488,0.01621543030966329,0.005998951035285157,0.0,0.0,250,250,0.3165657469898829,0.4779224847590204
2020-05-31,2020-06-30,development,0.04883658050454177,-0.014467496481697612,0.5856894191549764,0.7156649873174641,0.04766520166623182,-0.01589882645633254,0.04883658050454177,-0.014467496481697612,0.0,0.0,251,251,0.3165657469898829,0.4779224847590204
2020-06-30,2020-07-31,development,0.16113895518959082,-0.1752160765999751,0.7012082638352899,0.6822377045073276,0.15973653866192022,-0.17658055200898976,0.16113895518959082,-0.1752160765999751,0.0,0.0,253,253,0.3165657469898829,0.4779224847590204
2020-07-31,2020-08-31,development,0.04089735176420013,0.013959640971187936,0.7242012761741572,0.6811828220199037,0.03944894921185182,0.01259727532714813,0.04089735176420013,0.013959640971187936,0.0,0.0,264,264,0.3165657469898829,0.4779224847590204
2020-08-31,2020-09-30,development,-0.07346986725219938,0.08025418588786065,0.6649535026523022,0.7252100875106746,-0.07479977425750399,0.0788037657128393,-0.07346986725219938,0.08025418588786065,0.0,0.0,259,259,0.3165657469898829,0.4779224847590204
2020-09-30,2020-10-31,development,-0.009382988948063019,-0.011878486512075912,0.7213370197627164,0.6575023052283114,-0.010825662987588452,-0.013193491122532534,-0.009382988948063019,-0.011878486512075912,0.0,0.0,260,260,0.3165657469898829,0.4779224847590204
2020-10-31,2020-11-30,development,0.05636671961569483,-0.001854092751266813,0.6055714896272172,0.5897683156197088,0.0551555766364404,-0.0030336293825062306,0.05636671961569483,-0.001854092751266813,0.0,0.0,264,264,0.3165657469898829,0.4779224847590204
2020-11-30,2020-12-31,development,-0.02926211155443739,-0.0122850388088816,0.6138957061170683,0.7060243248323744,-0.030489902966671527,-0.013697087458546349,-0.02926211155443739,-0.0122850388088816,0.0,0.0,266,266,0.3165657469898829,0.4779224847590204
2020-12-31,2021-01-31,development,-0.04690618743482093,0.10883923428756319,0.6864245403719088,0.6272698792435635,-0.04827903651556475,0.10758469452907606,-0.04690618743482093,0.10883923428756319,0.0,0.0,265,265,0.3165657469898829,0.4779224847590204
2021-01-31,2021-02-28,development,0.0676313607852571,0.029852799886198447,0.6373489642452491,0.6932752490028032,0.0663566628567666,0.02846624938819284,0.0676313607852571,0.029852799886198447,0.0,0.0,266,266,0.3165657469898829,0.4779224847590204
2021-02-28,2021-03-31,development,0.03989553690540899,0.025263032312382142,0.6645832817852941,0.7206553379540995,0.03856637034183841,0.023821721636473944,0.03989553690540899,0.025263032312382142,0.0,0.0,271,271,0.3165657469898829,0.4779224847590204
2021-03-31,2021-04-30,development,-0.001903285093433633,0.038235638509563845,0.7038227240871233,0.6750647998972229,-0.0033109305416078793,0.036885508909769396,-0.001903285093433633,0.038235638509563845,0.0,0.0,270,270,0.3165657469898829,0.4779224847590204
2021-04-30,2021-05-31,development,0.0232097740270207,-0.10057741973568052,0.6600736376059118,0.7322100875787569,0.021889626751808878,-0.10204183991083803,0.0232097740270207,-0.10057741973568052,0.0,0.0,275,275,0.3165657469898829,0.4779224847590204
2021-05-31,2021-06-30,development,-0.0024146639899211555,0.019800461931282157,0.6699904533031468,0.581285537803973,-0.003754644896527449,0.018637890855674213,-0.0024146639899211555,0.019800461931282157,0.0,0.0,277,277,0.3165657469898829,0.4779224847590204
2021-06-30,2021-07-31,development,-0.019703181641523904,-0.032755747834611174,0.6219967544130224,0.6618307813642742,-0.02094717515034995,-0.03407940939733972,-0.019703181641523904,-0.032755747834611174,0.0,0.0,275,275,0.3165657469898829,0.4779224847590204
2021-07-31,2021-08-31,development,0.0665473644172202,-0.038228045921402116,0.6658111668173587,0.6579263959294919,0.06521574208358548,-0.0395438987132611,0.0665473644172202,-0.038228045921402116,0.0,0.0,282,282,0.3165657469898829,0.4779224847590204
2021-08-31,2021-09-30,development,0.025567013730536332,0.04749943740779448,0.6769768627432745,0.6982367702150352,0.02421306000504978,0.046102963867364406,0.025567013730536332,0.04749943740779448,0.0,0.0,289,289,0.3165657469898829,0.4779224847590204
2021-09-30,2021-10-31,development,-0.025640644819340176,0.044029496551005264,0.6752172215984095,0.7381510593905594,-0.026991079262536993,0.04255319443222415,-0.025640644819340176,0.044029496551005264,0.0,0.0,298,298,0.3165657469898829,0.4779224847590204
2021-10-31,2021-11-30,development,0.055958257989312234,-0.07448934147479606,0.641019269218613,0.6665421056930491,0.05467621945087501,-0.07582242568618217,0.055958257989312234,-0.07448934147479606,0.0,0.0,295,295,0.3165657469898829,0.4779224847590204
2021-11-30,2021-12-31,development,0.0688570920259278,-0.015287967833432744,0.6673689131430594,0.6856926456076607,0.06752235419964167,-0.016659353124648064,0.0688570920259278,-0.015287967833432744,0.0,0.0,300,300,0.3165657469898829,0.4779224847590204
2021-12-31,2022-01-31,development,-0.0745886625813508,0.15590697352964372,0.6841147088817153,0.5737549842771394,-0.07595689199911423,0.15475946356108944,-0.0745886625813508,0.15590697352964372,0.0,0.0,309,309,0.3165657469898829,0.4779224847590204
2022-01-31,2022-02-28,selection,0.05567083989868137,-0.045793051982334396,0.7519908893547337,0.7038081686013868,0.054166858119971906,-0.04720066831953717,0.05567083989868137,-0.045793051982334396,0.0,0.0,311,311,0.17598020530633632,0.8080159516597978
2022-02-28,2022-03-31,selection,-0.0408040166995004,0.02683637747447681,0.6897661837635685,0.6843910844658229,-0.04218354906702754,0.025467595305545165,-0.0408040166995004,0.02683637747447681,0.0,0.0,314,314,0.17598020530633632,0.8080159516597978
2022-03-31,2022-04-30,selection,-0.08883853107109256,0.20424514347982275,0.6221167033472934,0.5673443725850558,-0.09008276447778715,0.20311045473465264,-0.08883853107109256,0.20424514347982275,0.0,0.0,320,320,0.17598020530633632,0.8080159516597978
2022-04-30,2022-05-31,selection,0.10245436005467792,-0.08966902286838103,0.7090240968622383,0.7287266417384511,0.10103631186095345,-0.09112647615185794,0.10245436005467792,-0.08966902286838103,0.0,0.0,318,318,0.17598020530633632,0.8080159516597978
2022-05-31,2022-06-30,selection,0.04052491006416317,-0.04863264622751021,0.7105588468012519,0.6395975898471361,0.03910379237056067,-0.04991184140720448,0.04052491006416317,-0.04863264622751021,0.0,0.0,318,318,0.17598020530633632,0.8080159516597978
2022-06-30,2022-07-31,selection,0.0066799941372916935,-0.008741378575173002,0.6158975493456279,0.680662246043579,0.005448199038600438,-0.01010270306726016,0.0066799941372916935,-0.008741378575173002,0.0,0.0,329,329,0.17598020530633632,0.8080159516597978
2022-07-31,2022-08-31,selection,0.013322458461391943,0.06688339715068187,0.5916842067028746,0.5970424249028368,0.012139090047986193,0.0656893123008762,0.013322458461391943,0.06688339715068187,0.0,0.0,329,329,0.17598020530633632,0.8080159516597978
2022-08-31,2022-09-30,selection,-0.06124105891691263,0.09936410678312439,0.6952262257530452,0.6969339359038454,-0.06263151136841873,0.0979702389113167,-0.06124105891691263,0.09936410678312439,0.0,0.0,332,332,0.17598020530633632,0.8080159516597978
2022-09-30,2022-10-31,selection,0.002908368305558776,0.021676504146087544,0.6890257169779376,0.6815664611417802,0.0015303168716029008,0.020313371223803982,0.002908368305558776,0.021676504146087544,0.0,0.0,331,331,0.17598020530633632,0.8080159516597978
