month,gross_return,turnover,holdings,mean_prediction,cross_sectional_ic,linear_ic,long_short_gross_return,long_short_turnover,diagnostic_long_names,diagnostic_short_names,nonlinear_enabled,ridge_weight,tabm_weight,retrieval_weight,net_return,long_short_net_return,advanced_nav,long_short_nav,benchmark_return,benchmark_nav
2024-11-30,0.04546527206127845,0.2894736842105263,418,0.076520219235479,0.16150187953654094,0.17928693454839278,0.04396205555164971,0.9191104062693596,384,384,False,1.0,0.0,0.0,0.044886324692857395,0.042123834739110994,1.753047013242122,3.8430249011001143,0.0065622108302902,0.9159729176597992
2024-12-31,0.005108900933688233,0.2679425837320574,418,0.07388490191508543,0.438183609418298,0.42850451902649306,0.11047299118812731,0.9858077276753276,381,381,False,1.0,0.0,0.0,0.004573015766224119,0.10850137573277666,1.7610637248726102,4.259998389844794,0.0046812505620201,0.9202608163953894
2025-01-31,-0.014153789500754766,0.2267303102625298,419,0.06485001005775631,0.139959049948815,0.1346806677015731,0.022076392648992877,0.9362392697816635,384,384,False,1.0,0.0,0.0,-0.014607250121279825,0.02020391410942955,1.7353394265638833,4.346067031419526,-0.029943040781999,0.8927054092399865
2025-02-28,0.03482560033705947,0.21957040572792363,419,0.06367465743000514,-0.2003905808259881,-0.1771093841097165,-0.0559985580110572,0.8446929236872845,379,379,False,1.0,0.0,0.0,0.034386459525603624,-0.05768794385843177,1.7950116055186065,4.095351360506015,0.0191150452401041,0.9097695135236945
2025-03-31,0.027258353156328977,0.3,420,0.0717950009316918,0.3605610002500995,0.37058773923995864,0.0723076074351734,0.8836637528397169,382,382,False,1.0,0.0,0.0,0.026658353156328977,0.07054027992949397,1.8428636588182306,4.384238591885744,-0.0007070396952717,0.9091262703640852
2025-04-30,-0.038344388704967196,0.30952380952380953,420,0.06308848094489071,0.014545332784743398,0.01847731494560054,,0.9468911363660069,385,385,False,1.0,0.0,0.0,-0.03896343632401481,,1.7710593579940255,,-0.0300279924394755,0.8818270335910638
2025-05-31,0.03389524436020072,0.31666666666666665,416,0.06005109226224155,0.07073533760579094,0.07310464025741507,0.0029489337495477233,1.262531898890562,381,381,False,1.0,0.0,0.0,0.03326191102686739,0.000423869951766599,1.829968176782924,4.38609693888622,0.0184739985868211,0.8981179049634459
2025-06-30,0.0422369940701935,0.3557692307692307,414,0.06398046635926462,0.03144733551977257,0.03840470741517565,-0.010281325470807148,1.1523109960849816,382,382,False,1.0,0.0,0.0,0.04152545560865503,-0.012585947462977112,1.9059584390731745,4.3308937532458724,0.0249607619357004,0.9205356121794285
2025-07-31,0.05783760524602871,0.3373205741626794,418,0.0686976118946131,0.20038710667105447,0.19776235500351666,0.033633214459531866,1.1164941640173838,385,385,False,1.0,0.0,0.0,0.057162964097703356,0.031400226131497094,2.0149086728976293,4.466884796449281,0.0354447948130622,0.953163808071245
2025-08-31,0.06511764609989405,0.3829787234042553,423,0.06508341448604878,0.0071179740338615065,0.015575120981525723,-0.08406419240203858,1.1814124114558102,389,389,False,1.0,0.0,0.0,0.06435168865308555,-0.08642701722495019,2.144571448480339,4.080825267204691,0.1033417546073725,1.0516654284255722
2025-09-30,0.0056191664439569425,0.37115839243498816,423,0.06862207083740422,0.1113041355191792,0.0902470180871223,0.01599593179406244,1.0528674416616297,384,384,False,1.0,0.0,0.0,0.004876849659086966,0.013890196910739179,2.1550302010177482,4.137508733724484,0.0320083476726995,1.0853275010939765
2025-10-31,0.022948529987362364,0.3900709219858156,423,0.06458442632053474,0.24341892630935336,0.2558877097866095,0.021980715659022747,1.0666165202168396,388,388,False,1.0,0.0,0.0,0.022168388143390734,0.01984748261858907,2.202803746974639,4.219627866401341,-5.835598087755578e-06,1.0853211675588865
