signal_month,month,gross_return,turnover,holdings,smoothing_weight,exit_fraction,net_return,exposure,scaled_turnover,scaled_gross_return,scaled_net_return,hedge_index_return,estimated_beta,hedge_notional,hedge_turnover,hedge_trade_cost,hedge_roll_cost,overlay_gross_return,overlay_net_return
2020-12-31,2021-01-31,0.0018377701207495,0.1395348837209342,301,0.75,0.2,0.0015587003533076,0.8094092225086137,0.152680070135887,0.0014875080845854,0.0011821479443136,-0.0032952941734928354,0.9010716100156438,0.4505358050078219,0.010305951694206505,5.152975847103253e-06,0.0003754465041731849,0.00332241813394168,0.0026627488864794917
2021-01-31,2021-02-28,0.0135330236582402,0.1672131147541041,305,0.75,0.2,0.013198597428732,0.8079673232224582,0.1365446320217186,0.0109342409002545,0.0106611516362111,0.0028685670675050456,0.9073068379903477,0.45365341899517386,0.0031176139873519415,1.5588069936759707e-06,0.0003780445158293116,0.012231688400449577,0.011517658848118392
2021-02-28,2021-03-31,0.002731586688401,0.1298701298701328,308,0.75,0.2,0.0024718464286607,0.8088651357391462,0.1058286337144122,0.0022094852374967,0.0019978279700679,-0.01732905826354847,0.9070868019428607,0.45354340097143037,0.00011001802374349667,5.5009011871748336e-08,0.00037795283414285866,0.010591066708882843,0.009953318605987813
2021-03-31,2021-04-30,0.0195560474936052,0.1214057507987226,313,0.75,0.2,0.0193132359920077,0.8542975891284338,0.1436333324886093,0.016706684226668,0.0164194175616908,0.03703866035445702,0.9681405298685614,0.4840702649342807,0.030526863962850315,1.5263431981425158e-05,0.0004033918874452339,0.001626733363012351,0.0009652665419881933
2021-04-30,2021-05-31,0.0285876491690729,0.2140575079872197,313,0.75,0.2,0.0281595341530985,0.8635219663388904,0.192093190218779,0.0246860630234842,0.0243018766430466,0.03751018055005084,0.9773379778711068,0.4886689889355534,0.004598724001272703,2.2993620006363515e-06,0.00040722415744629453,0.010257587164889496,0.009419948629468163
2021-05-31,2021-06-30,0.0007038184519811,0.1650793650793683,315,0.75,0.2,0.0003736597218224,0.8634016190542777,0.1426501383665915,0.0006076779909608,0.0003223777142276,0.01177049190760493,0.9689641447848156,0.4844820723924078,0.004186916543145569,2.0934582715727847e-06,0.00040373506032700653,-0.004998773860493402,-0.005734761109250681
2021-06-30,2021-07-31,-0.0501655185606628,0.135646687697162,317,0.75,0.2,-0.0504368119360571,0.931582652796485,0.185298603519287,-0.0467333268596536,-0.0471039240666921,-0.006000798903560978,0.9727306158491102,0.4863653079245551,0.0018832355321473093,9.416177660736547e-07,0.00040530442327046256,-0.04724693815413903,-0.04792447757056986
2021-07-31,2021-08-31,0.0424837966925234,0.2173913043478264,322,0.75,0.2,0.0420490140838277,1.0,0.2709353152027512,0.0424837966925234,0.0419419260621179,0.0721141105083507,0.8324074746465454,0.4162037373232727,0.07016157060128242,3.508078530064121e-05,0.00034683644776939393,0.012469634385204341,0.011652934543438605
2021-08-31,2021-09-30,-0.0025099064500968,0.2361963190184076,326,0.75,0.2,-0.0029822990881336,1.0,0.2361963190184076,-0.0025099064500968,-0.0029822990881336,-0.02091138925396363,0.741287717667532,0.370643858833766,0.04555987848950671,2.2779939244753357e-05,0.0003088698823614717,0.005240771556567228,0.004436729096924202
2021-09-30,2021-10-31,-0.0279859903095698,0.2567975830815718,331,0.75,0.2,-0.0284995854757329,1.0,0.2567975830815718,-0.0279859903095698,-0.0284995854757329,-0.011418993941900268,0.5471714145252321,0.27358570726261605,0.09705815157114994,4.852907578557497e-05,0.00022798808938551335,-0.024861916775747485,-0.025652029107081673
2021-10-31,2021-11-30,0.0558345604196412,0.3573573573573638,333,0.75,0.2,0.0551198457049264,1.0,0.3573573573573638,0.0558345604196412,0.0551198457049264,0.03279025815523173,0.6459842426559413,0.32299212132797067,0.04940641406535462,2.470320703267731e-05,0.0002691601011066422,0.045243565379191115,0.044234987356337
2021-11-30,2021-12-31,0.0598713054698324,0.2908011869436249,337,0.75,0.2,0.0592897030959451,1.0,0.2908011869436249,0.0598713054698324,0.0592897030959451,0.014705643776358412,0.7366309079037491,0.36831545395187454,0.04532333262390387,2.2661666311951935e-05,0.00030692954495989546,0.054454989606688396,0.05354379602152925
2021-12-31,2022-01-31,-0.0768297353117986,0.2732558139534889,344,0.75,0.2,-0.0773762469397055,1.0,0.2732558139534889,-0.0768297353117986,-0.0773762469397055,-0.10583488038990518,0.7604402711542828,0.3802201355771414,0.011904681625266866,5.952340812633433e-06,0.0003168501129809512,-0.0365891€}Ì¢Gß≤⁄Óù∆≠y“-04-30,-0.105543700112136,0.2969187675070072,357,0.75,0.2,-0.1061375376471501,0.9506048574305258,0.3316475652239202,-0.1003303539977873,-0.1009936491282351,-0.11020686327345919,0.7532237592456011,0.37661187962280057,0.008928935848091568,4.464467924045784e-06,0.0003138432330190005,-0.06403848618738554,-0.06495063142334269
